Category,Code,Title_en,Description_en,Source
,DEFENCE,,Defence,http://formex.publications.europa.eu/ted/schema
,ECONOMIC_AND_FINANCIAL_AFFAIRS,,Economic and financial affairs,http://formex.publications.europa.eu/ted/schema
,EDUCATION,,Education,http://formex.publications.europa.eu/ted/schema
,ENVIRONMENT,,Environment,http://formex.publications.europa.eu/ted/schema
,GENERAL_PUBLIC_SERVICES,,General public services,http://formex.publications.europa.eu/ted/schema
,HEALTH,,Health,http://formex.publications.europa.eu/ted/schema
,HOUSING_AND_COMMUNITY_AMENITIES,,Housing and community amenities,http://formex.publications.europa.eu/ted/schema
,PUBLIC_ORDER_AND_SAFETY,,Public order and safety,http://formex.publications.europa.eu/ted/schema
,RECREATION_CULTURE_AND_RELIGION,,Recreation culture and religion,http://formex.publications.europa.eu/ted/schema
,SOCIAL_PROTECTION,,Social protection,http://formex.publications.europa.eu/ted/schema
