Category,Code,Title_en,Description_en,Source
,bg,Bulgarian,,http://publications.europa.eu/code/en/en-370200.htm
,es,Spanish,,http://publications.europa.eu/code/en/en-370200.htm
,cs,Czech,,http://publications.europa.eu/code/en/en-370200.htm
,da,Danish,,http://publications.europa.eu/code/en/en-370200.htm
,de,German,,http://publications.europa.eu/code/en/en-370200.htm
,et,Estonian,,http://publications.europa.eu/code/en/en-370200.htm
,el,Greek,,http://publications.europa.eu/code/en/en-370200.htm
,en,English,,http://publications.europa.eu/code/en/en-370200.htm
,fr,French,,http://publications.europa.eu/code/en/en-370200.htm
,ga,Irish (4),,http://publications.europa.eu/code/en/en-370200.htm
,hr,Croatian,,http://publications.europa.eu/code/en/en-370200.htm
,it,Italian,,http://publications.europa.eu/code/en/en-370200.htm
,lv,Latvian,,http://publications.europa.eu/code/en/en-370200.htm
,lt,Lithuanian,,http://publications.europa.eu/code/en/en-370200.htm
,hu,Hungarian,,http://publications.europa.eu/code/en/en-370200.htm
,mt,Maltese,,http://publications.europa.eu/code/en/en-370200.htm
,nl,Dutch,,http://publications.europa.eu/code/en/en-370200.htm
,pl,Polish,,http://publications.europa.eu/code/en/en-370200.htm
,pt,Portuguese,,http://publications.europa.eu/code/en/en-370200.htm
,ro,Romanian,,http://publications.europa.eu/code/en/en-370200.htm
,sk,Slovak,,http://publications.europa.eu/code/en/en-370200.htm
,sl,Slovenian,,http://publications.europa.eu/code/en/en-370200.htm
,fi,Finnish,,http://publications.europa.eu/code/en/en-370200.htm
,sv,Swedish,,http://publications.europa.eu/code/en/en-370200.htm
